sample,status
Goe1378V1,1
Goe1378V3,1
Goe1378V2,1
Goe1378V4,0
Goe1286V1,0
Goe1286V2,1
Goe1286V3,1
Goe1286V4,1
Goe47V1,1
Goe47V2,1
Goe47V3,1
Goe47V4,1
Goe184V1,1
Goe184V2,1
Goe184V3,1
Goe184V4,1
Goe235V1,1
Goe235V2,1
Goe235V3,1
Goe235V4,1
Goe189V1,1
Goe189V2,1
Goe189V3,0
Goe189V4,1
Goe288V1,1
Goe288V2,1
Goe288V3,1
Goe288V4,1
Gos1V3,1
Gos1V4,0
Gos1V1,1
Gos1V2,1
Gos2V1,0
Gos2V2,0
Gos2V3,0
Gos2V4,1
Nor508V1,0
Nor508V2,1
Nor508V3,0
Nor508V4,0
Nor918V1,0
Nor918V2,1
Nor918V3,1
Nor918V4,1
Goe1425V1,1
Goe1425V2,1
Goe1425V3,1
Goe1425V4,1
Goe1214V1,1
Goe1214V2,1
Goe1214V3,0
Goe1214V4,1
Goe1070V1,1
Goe1070V3,1
Goe1070V2,0
Goe1070V4,1
Nor578V1,0
Nor578V2,0
Nor578V3,1
Nor578V4,1
Goe901_2V1,1
Goe901_2V2,1
Goe901_2V3,1
Goe901_2V4,1
Goe1256V1,0
Goe1256V2,1
Goe1256V3,1
Goe1256V4,1
WM1249V1,1
WM1249V2,1
WM1249V3,1
WM1249V4,1
WM32V1,1
WM32V2,1
WM32V3,1
WM32V4,1
WM1316V1,1
WM1316V2,1
WM1316V3,1
WM1316V4,1
WM630V1,1
WM630V2,0
WM630V3,1
WM630V4,1
WM597V1,1
WM597V2,1
WM597V3,1
WM597V4,1
Goe595V1,0
Goe595V2,1
Goe595V3,1
Goe595V4,0
Goe598V1,1
Goe598V2,1
Goe598V3,1
Goe598V4,1
Goe1392V1,1
Goe1392V2,1
Goe1392V3,1
Goe1392V4,1
Nor1145V1,0
Nor1145V2,1
Nor1145V3,1
Nor1145V4,1
Goe1227V1,1
Goe1227V2,0
Goe1227V3,1
Goe1227V4,0
Nor174V1,1
Nor174V2,1
Nor174V3,1
Nor174V4,0
Nor1V1,1
Nor1V3,1
Nor1V4,1
Nor1V2,0
Nor264V1,1
Nor264V2,1
Nor264V3,1
Nor264V4,1
Nor1070V1,1
Nor1070V2,1
Nor1070V3,1
Nor1070V4,1
Nor39V1,1
Nor39V2,0
Nor39V3,1
Nor39V4,0
